,start,anyone,mrna,life,minister,effect,way,thank,pfizer,post,covidvaccines,today,people,number,time,ocgn,president,article,emergency,vaccination,russia,pfizercovidvaccine,sinopharm,everyone,dubai,site,year,world,reaction,thanks,day,moderna,death,arm,sinovac,doe,healthcare,injection,pfizervaccine,variant,question,home,biontech,supply,covidvaccine,report,iran,team,scientist,covidvaccination,borisjohnson,pfizerbiontech,amp,jab,fda,covaxin,country,dos,science,feel,group,china,morning,month,coronavirus,government,trial,canada,case,data,yesterday,oxfordastrazeneca,dose,efficacy,hour,shot,batch,news,use,delivery,vaccine,side,health,staff,hospital,study,state,week,approval,part,sputnikv,hope,oxford,worker,astrazeneca,work,get,end,care,india
start,60.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,6.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,20.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,12.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,10.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
anyone,0.0,70.0,1.0,0.0,0.0,6.0,0.0,0.0,8.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,6.0,0.0,2.0,0.0,7.0,0.0,1.0,6.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,31.0,2.0,0.0,0.0,1.0,4.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
mrna,0.0,1.0,76.0,1.0,0.0,2.0,0.0,0.0,21.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,14.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,12.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,23.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,32.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0
life,0.0,0.0,1.0,71.0,0.0,0.0,0.0,2.0,7.0,1.0,0.0,1.0,6.0,3.0,0.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
minister,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,7.0,2.0,3.0,0.0,7.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,2.0,32.0,0.0,41.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0
effect,0.0,6.0,2.0,0.0,0.0,183.0,1.0,2.0,20.0,9.0,0.0,12.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,1.0,4.0,0.0,14.0,23.0,2.0,13.0,0.0,1.0,0.0,7.0,5.0,2.0,1.0,0.0,7.0,0.0,19.0,3.0,0.0,0.0,0.0,5.0,0.0,51.0,7.0,4.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,4.0,0.0,0.0,2.0,1.0,2.0,8.0,0.0,7.0,1.0,22.0,6.0,0.0,2.0,0.0,0.0,70.0,112.0,0.0,0.0,1.0,5.0,0.0,3.0,0.0,2.0,3.0,1.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0
way,3.0,0.0,0.0,0.0,0.0,1.0,65.0,3.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,21.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,22.0,1.0,4.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
thank,1.0,0.0,0.0,2.0,0.0,2.0,3.0,152.0,10.0,0.0,0.0,12.0,4.0,0.0,3.0,0.0,5.0,0.0,0.0,18.0,0.0,1.0,1.0,5.0,2.0,1.0,6.0,1.0,0.0,0.0,4.0,7.0,0.0,5.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,11.0,12.0,2.0,1.0,53.0,6.0,3.0,0.0,6.0,2.0,0.0,10.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,6.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,44.0,1.0,4.0,4.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,4.0,5.0,1.0,6.0,2.0
pfizer,3.0,8.0,21.0,7.0,4.0,20.0,8.0,10.0,1059.0,9.0,19.0,47.0,33.0,5.0,22.0,0.0,1.0,29.0,41.0,40.0,0.0,22.0,1.0,5.0,9.0,3.0,14.0,9.0,26.0,10.0,30.0,83.0,23.0,8.0,3.0,9.0,10.0,3.0,81.0,15.0,4.0,5.0,198.0,6.0,67.0,5.0,1.0,0.0,9.0,6.0,6.0,271.0,21.0,18.0,12.0,2.0,14.0,43.0,9.0,3.0,13.0,6.0,11.0,4.0,80.0,12.0,8.0,20.0,7.0,12.0,7.0,1.0,14.0,4.0,7.0,17.0,6.0,21.0,69.0,13.0,627.0,19.0,20.0,3.0,7.0,17.0,7.0,12.0,8.0,4.0,4.0,2.0,8.0,11.0,23.0,21.0,12.0,3.0,5.0,17.0
post,0.0,0.0,0.0,1.0,1.0,9.0,0.0,0.0,9.0,68.0,0.0,3.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,12.0,6.0,5.0,12.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,1.0,2.0,0.0,22.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,26.0,5.0,0.0,2.0,0.0,0.0,33.0,5.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
