,start,anyone,mrna,life,minister,effect,way,thank,pfizer,post,today,covidvaccines,people,number,time,ocgn,president,article,emergency,vaccination,russia,pfizercovidvaccine,sinopharm,everyone,dubai,site,year,world,reaction,thanks,day,moderna,death,arm,sinovac,doe,healthcare,injection,pfizervaccine,variant,question,home,biontech,supply,covidvaccine,report,iran,team,scientist,covidvaccination,borisjohnson,pfizerbiontech,amp,jab,fda,covaxin,country,dos,science,feel,group,china,morning,month,coronavirus,government,trial,canada,case,data,yesterday,oxfordastrazeneca,dose,efficacy,hour,shot,batch,news,use,delivery,vaccine,side,health,staff,hospital,study,state,week,approval,part,hope,sputnikv,oxford,worker,astrazeneca,work,get,end,care,india
start,403.0,0.0,1.0,3.0,13.0,2.0,1.0,1.0,7.0,0.0,25.0,1.0,8.0,2.0,6.0,1.0,2.0,0.0,1.0,45.0,42.0,0.0,18.0,4.0,0.0,3.0,4.0,4.0,0.0,2.0,4.0,28.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,13.0,0.0,33.0,65.0,5.0,5.0,1.0,12.0,14.0,2.0,29.0,9.0,4.0,8.0,11.0,2.0,1.0,4.0,3.0,4.0,1.0,2.0,7.0,0.0,13.0,3.0,4.0,187.0,1.0,12.0,1.0,7.0,4.0,5.0,13.0,2.0,2.0,2.0,75.0,0.0,7.0,1.0,3.0,3.0,2.0,1.0,10.0
anyone,0.0,487.0,4.0,1.0,2.0,41.0,2.0,1.0,39.0,6.0,19.0,1.0,12.0,2.0,11.0,2.0,0.0,3.0,1.0,15.0,2.0,1.0,3.0,5.0,0.0,6.0,3.0,2.0,14.0,4.0,38.0,126.0,4.0,15.0,1.0,27.0,1.0,5.0,3.0,0.0,7.0,3.0,1.0,1.0,15.0,5.0,0.0,5.0,0.0,3.0,1.0,6.0,10.0,15.0,0.0,45.0,4.0,2.0,4.0,8.0,1.0,1.0,4.0,2.0,2.0,2.0,3.0,3.0,11.0,5.0,5.0,9.0,20.0,3.0,5.0,41.0,0.0,4.0,2.0,0.0,178.0,36.0,4.0,0.0,3.0,2.0,1.0,15.0,1.0,2.0,0.0,10.0,7.0,0.0,12.0,7.0,25.0,1.0,4.0,9.0
mrna,1.0,4.0,466.0,14.0,0.0,8.0,1.0,4.0,67.0,5.0,7.0,3.0,5.0,1.0,5.0,2.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,3.0,0.0,2.0,6.0,3.0,5.0,7.0,9.0,202.0,10.0,2.0,3.0,5.0,0.0,4.0,4.0,1.0,1.0,0.0,20.0,3.0,6.0,5.0,0.0,14.0,18.0,0.0,0.0,15.0,15.0,4.0,1.0,8.0,1.0,6.0,3.0,1.0,1.0,3.0,2.0,7.0,15.0,3.0,4.0,4.0,1.0,17.0,1.0,0.0,5.0,3.0,1.0,22.0,0.0,7.0,4.0,1.0,174.0,7.0,1.0,1.0,0.0,13.0,3.0,4.0,4.0,3.0,5.0,4.0,1.0,0.0,8.0,9.0,2.0,0.0,0.0,0.0
life,3.0,1.0,14.0,602.0,3.0,8.0,7.0,9.0,23.0,3.0,32.0,0.0,104.0,3.0,17.0,4.0,0.0,0.0,0.0,14.0,3.0,0.0,10.0,6.0,0.0,1.0,7.0,12.0,2.0,15.0,18.0,80.0,6.0,4.0,8.0,4.0,0.0,1.0,3.0,0.0,2.0,1.0,1.0,5.0,12.0,0.0,0.0,0.0,13.0,1.0,1.0,8.0,15.0,6.0,0.0,46.0,22.0,5.0,36.0,6.0,3.0,16.0,3.0,7.0,7.0,3.0,1.0,5.0,2.0,4.0,5.0,12.0,10.0,1.0,2.0,21.0,1.0,6.0,2.0,1.0,164.0,6.0,2.0,0.0,1.0,4.0,3.0,2.0,1.0,3.0,4.0,16.0,3.0,1.0,4.0,4.0,24.0,2.0,6.0,8.0
minister,13.0,2.0,0.0,3.0,981.0,0.0,2.0,4.0,5.0,2.0,70.0,0.0,15.0,3.0,32.0,3.0,25.0,1.0,11.0,38.0,40.0,0.0,42.0,1.0,2.0,0.0,4.0,4.0,0.0,4.0,24.0,4.0,1.0,2.0,27.0,5.0,3.0,0.0,0.0,0.0,0.0,8.0,1.0,14.0,16.0,0.0,0.0,1.0,2.0,0.0,4.0,5.0,19.0,40.0,0.0,246.0,31.0,24.0,14.0,1.0,4.0,36.0,19.0,4.0,37.0,22.0,5.0,1.0,3.0,2.0,4.0,3.0,9.0,7.0,1.0,22.0,13.0,17.0,17.0,17.0,368.0,0.0,268.0,1.0,9.0,3.0,23.0,5.0,11.0,1.0,1.0,80.0,0.0,1.0,4.0,2.0,6.0,2.0,2.0,55.0
effect,2.0,41.0,8.0,8.0,0.0,1476.0,7.0,13.0,85.0,39.0,87.0,4.0,63.0,9.0,24.0,4.0,2.0,6.0,3.0,54.0,3.0,1.0,17.0,9.0,0.0,33.0,6.0,8.0,16.0,15.0,124.0,461.0,23.0,135.0,16.0,4.0,1.0,43.0,5.0,2.0,9.0,1.0,16.0,1.0,50.0,40.0,0.0,3.0,1.0,8.0,0.0,31.0,36.0,48.0,0.0,136.0,6.0,3.0,3.0,36.0,2.0,5.0,29.0,24.0,9.0,11.0,6.0,2.0,12.0,11.0,102.0,55.0,47.0,13.0,113.0,175.0,1.0,13.0,8.0,0.0,470.0,1011.0,8.0,3.0,0.0,40.0,2.0,50.0,2.0,9.0,11.0,23.0,9.0,4.0,34.0,8.0,23.0,1.0,5.0,20.0
way,1.0,2.0,1.0,7.0,2.0,7.0,493.0,5.0,19.0,2.0,47.0,0.0,19.0,2.0,5.0,4.0,3.0,2.0,7.0,17.0,11.0,0.0,12.0,4.0,0.0,1.0,2.0,7.0,7.0,7.0,18.0,91.0,2.0,7.0,5.0,2.0,0.0,0.0,2.0,1.0,2.0,5.0,1.0,2.0,18.0,1.0,0.0,5.0,0.0,1.0,1.0,4.0,15.0,17.0,2.0,51.0,12.0,3.0,3.0,6.0,1.0,6.0,6.0,0.0,8.0,4.0,12.0,1.0,2.0,0.0,1.0,6.0,6.0,2.0,6.0,23.0,1.0,10.0,4.0,0.0,157.0,9.0,3.0,2.0,1.0,2.0,6.0,10.0,4.0,4.0,2.0,21.0,1.0,1.0,8.0,5.0,12.0,4.0,0.0,18.0
thank,1.0,1.0,4.0,9.0,4.0,13.0,5.0,1008.0,30.0,8.0,109.0,0.0,22.0,4.0,16.0,2.0,11.0,2.0,3.0,67.0,10.0,1.0,9.0,37.0,6.0,9.0,22.0,8.0,1.0,8.0,24.0,272.0,2.0,15.0,16.0,1.0,4.0,1.0,4.0,0.0,1.0,2.0,4.0,4.0,53.0,4.0,0.0,20.0,30.0,6.0,1.0,58.0,58.0,37.0,1.0,80.0,4.0,2.0,97.0,10.0,2.0,3.0,21.0,1.0,3.0,7.0,8.0,8.0,1.0,0.0,13.0,37.0,35.0,8.0,9.0,71.0,0.0,2.0,2.0,0.0,291.0,6.0,22.0,19.0,7.0,0.0,4.0,15.0,3.0,3.0,7.0,39.0,7.0,16.0,14.0,11.0,13.0,3.0,8.0,14.0
pfizer,7.0,39.0,67.0,23.0,5.0,85.0,19.0,30.0,3988.0,9.0,83.0,25.0,110.0,21.0,50.0,7.0,5.0,13.0,13.0,145.0,13.0,7.0,35.0,25.0,6.0,12.0,31.0,117.0,39.0,15.0,70.0,1400.0,50.0,18.0,58.0,24.0,8.0,17.0,63.0,41.0,18.0,3.0,301.0,26.0,153.0,49.0,7.0,38.0,15.0,7.0,9.0,160.0,231.0,72.0,20.0,68.0,37.0,91.0,20.0,14.0,34.0,13.0,19.0,55.0,130.0,29.0,55.0,33.0,31.0,54.0,16.0,20.0,66.0,54.0,12.0,203.0,4.0,73.0,48.0,11.0,2044.0,71.0,54.0,2.0,5.0,222.0,20.0,87.0,20.0,15.0,15.0,83.0,36.0,12.0,329.0,45.0,71.0,19.0,14.0,42.0
post,0.0,6.0,5.0,3.0,2.0,39.0,2.0,8.0,9.0,400.0,15.0,0.0,12.0,5.0,9.0,0.0,1.0,0.0,1.0,62.0,3.0,0.0,1.0,2.0,0.0,7.0,5.0,3.0,11.0,2.0,33.0,125.0,15.0,43.0,8.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,1.0,0.0,13.0,6.0,0.0,2.0,13.0,0.0,1.0,10.0,19.0,13.0,0.0,33.0,0.0,5.0,3.0,17.0,0.0,1.0,2.0,2.0,5.0,5.0,3.0,1.0,7.0,12.0,8.0,6.0,26.0,8.0,79.0,40.0,0.0,3.0,0.0,0.0,141.0,22.0,3.0,1.0,1.0,2.0,1.0,22.0,2.0,4.0,1.0,13.0,1.0,4.0,4.0,1.0,5.0,0.0,1.0,8.0
