,road,mrna,ocugen,effect,please,thank,pfizer,columbia,mumbai,today,people,time,ocgn,emergency,pvt,vaccination,russia,sinopharm,year,world,mumbaicovaxin,thanks,day,moderna,bharatbiotech,arm,ltd,biotech,fee,sinovac,company,variant,govt,centre,covidvaccine,floor,report,clinic,pmc,pfizerbiontech,amp,jul,gurgaoncovaxin,jab,covaxin,country,dos,hosp,pincode,production,punecovaxin,availability,china,month,city,coronavirus,phase,government,trial,june,data,canada,case,date,bengaluru,dose,efficacy,shot,hour,apollo,covishield,news,center,use,marg,vaccine,side,health,slot,hospital,study,delta,price,state,week,sec,approval,age,sputnikv,child,plot,astrazeneca,work,get,shop,india,sputnik,bharat,thane,fortis
road,3289.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,546.0,6.0,0.0,0.0,0.0,0.0,52.0,6.0,0.0,2.0,2.0,0.0,735.0,5.0,1.0,5.0,1.0,1.0,61.0,0.0,69.0,10.0,0.0,0.0,0.0,71.0,0.0,2.0,0.0,0.0,98.0,2.0,0.0,44.0,534.0,2.0,2637.0,1.0,1.0,0.0,72.0,0.0,96.0,0.0,0.0,0.0,62.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,72.0,1.0,72.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,13.0,0.0,2.0,695.0,1524.0,1.0,0.0,0.0,0.0,2.0,964.0,0.0,656.0,3.0,0.0,496.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,121.0,321.0
mrna,0.0,935.0,13.0,20.0,7.0,3.0,156.0,0.0,0.0,35.0,18.0,19.0,16.0,6.0,0.0,47.0,0.0,6.0,24.0,9.0,0.0,6.0,12.0,413.0,6.0,2.0,0.0,7.0,0.0,13.0,18.0,15.0,1.0,0.0,7.0,0.0,13.0,0.0,0.0,15.0,28.0,1.0,0.0,11.0,56.0,3.0,13.0,0.0,0.0,15.0,0.0,0.0,6.0,13.0,0.0,9.0,5.0,11.0,22.0,12.0,10.0,27.0,6.0,0.0,0.0,10.0,1.0,29.0,5.0,0.0,2.0,24.0,0.0,9.0,0.0,298.0,10.0,9.0,0.0,0.0,25.0,25.0,20.0,2.0,10.0,0.0,5.0,2.0,2.0,5.0,0.0,11.0,12.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0
ocugen,0.0,13.0,2050.0,2.0,24.0,16.0,29.0,0.0,0.0,19.0,10.0,21.0,957.0,20.0,0.0,6.0,0.0,0.0,3.0,98.0,0.0,2.0,20.0,4.0,697.0,0.0,2.0,41.0,1.0,0.0,14.0,14.0,1.0,0.0,20.0,0.0,7.0,0.0,0.0,0.0,18.0,0.0,0.0,3.0,1199.0,0.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,12.0,0.0,0.0,63.0,3.0,43.0,21.0,37.0,64.0,2.0,8.0,0.0,0.0,13.0,11.0,4.0,0.0,2.0,57.0,0.0,15.0,0.0,306.0,1.0,17.0,0.0,0.0,11.0,23.0,9.0,21.0,20.0,4.0,46.0,0.0,0.0,4.0,0.0,1.0,20.0,8.0,0.0,17.0,0.0,43.0,0.0,0.0
effect,0.0,20.0,2.0,1111.0,7.0,12.0,92.0,0.0,1.0,60.0,26.0,18.0,2.0,1.0,0.0,72.0,0.0,33.0,4.0,6.0,0.0,7.0,77.0,315.0,12.0,96.0,0.0,1.0,0.0,67.0,3.0,3.0,0.0,2.0,32.0,0.0,22.0,0.0,0.0,18.0,21.0,0.0,0.0,64.0,96.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,4.0,13.0,0.0,6.0,2.0,2.0,5.0,3.0,9.0,4.0,11.0,0.0,0.0,58.0,9.0,94.0,70.0,0.0,19.0,8.0,0.0,4.0,0.0,308.0,732.0,7.0,1.0,0.0,18.0,5.0,2.0,4.0,29.0,0.0,1.0,3.0,28.0,8.0,0.0,19.0,9.0,19.0,0.0,7.0,6.0,0.0,0.0,0.0
please,1.0,7.0,24.0,7.0,877.0,18.0,49.0,0.0,3.0,23.0,53.0,16.0,5.0,1.0,0.0,48.0,5.0,28.0,5.0,3.0,0.0,6.0,13.0,62.0,55.0,4.0,0.0,0.0,0.0,25.0,2.0,6.0,8.0,7.0,13.0,0.0,2.0,0.0,1.0,4.0,24.0,0.0,0.0,13.0,408.0,11.0,12.0,0.0,0.0,2.0,0.0,6.0,10.0,4.0,4.0,2.0,3.0,5.0,5.0,14.0,14.0,5.0,4.0,18.0,1.0,74.0,5.0,11.0,2.0,1.0,19.0,17.0,13.0,8.0,0.0,198.0,6.0,7.0,37.0,15.0,3.0,5.0,3.0,3.0,17.0,0.0,30.0,14.0,35.0,3.0,0.0,4.0,25.0,28.0,0.0,29.0,4.0,0.0,0.0,3.0
thank,1.0,3.0,16.0,12.0,18.0,946.0,32.0,0.0,2.0,74.0,6.0,18.0,0.0,0.0,0.0,51.0,7.0,21.0,4.0,5.0,0.0,8.0,16.0,167.0,100.0,12.0,0.0,3.0,0.0,97.0,1.0,0.0,9.0,5.0,18.0,0.0,0.0,3.0,0.0,32.0,45.0,0.0,0.0,41.0,218.0,1.0,13.0,0.0,0.0,2.0,0.0,1.0,12.0,1.0,12.0,4.0,0.0,11.0,0.0,2.0,2.0,4.0,2.0,3.0,0.0,51.0,1.0,22.0,4.0,0.0,7.0,4.0,4.0,0.0,0.0,178.0,13.0,18.0,7.0,7.0,2.0,0.0,1.0,5.0,7.0,3.0,0.0,3.0,19.0,4.0,0.0,8.0,8.0,11.0,0.0,20.0,1.0,4.0,1.0,1.0
pfizer,2.0,156.0,29.0,92.0,49.0,32.0,5614.0,0.0,1.0,128.0,185.0,111.0,22.0,43.0,0.0,210.0,6.0,89.0,124.0,50.0,0.0,27.0,82.0,2384.0,21.0,28.0,0.0,9.0,0.0,129.0,62.0,82.0,63.0,44.0,136.0,0.0,58.0,20.0,0.0,170.0,327.0,0.0,0.0,159.0,218.0,38.0,130.0,0.0,0.0,10.0,0.0,4.0,23.0,50.0,4.0,108.0,4.0,79.0,64.0,34.0,50.0,61.0,74.0,10.0,0.0,126.0,49.0,237.0,15.0,0.0,62.0,92.0,2.0,64.0,0.0,2257.0,76.0,89.0,1.0,2.0,164.0,77.0,146.0,58.0,94.0,1.0,38.0,40.0,63.0,36.0,2.0,318.0,47.0,95.0,1.0,171.0,11.0,2.0,0.0,0.0
columbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,42.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.0,0.0,1.0,58.0,0.0,0.0,671.0,0.0,0.0,502.0,87.0,0.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mumbai,546.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,1066.0,9.0,1.0,3.0,0.0,3.0,378.0,21.0,3.0,0.0,1.0,1.0,209.0,3.0,7.0,7.0,5.0,0.0,50.0,5.0,0.0,0.0,7.0,0.0,0.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,925.0,1.0,16.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,72.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,4.0,0.0,1.0,0.0,2.0,10.0,3.0,49.0,3.0,435.0,40.0,1.0,3.0,7.0,754.0,2.0,1.0,3.0,3.0,3.0,0.0,2.0,0.0,30.0,0.0,0.0,0.0,0.0,6.0,0.0,18.0,10.0,5.0,46.0,1.0
today,6.0,35.0,19.0,60.0,23.0,74.0,128.0,0.0,9.0,3490.0,78.0,65.0,11.0,28.0,0.0,301.0,43.0,251.0,32.0,73.0,0.0,122.0,157.0,609.0,58.0,57.0,2.0,37.0,1.0,232.0,12.0,14.0,6.0,59.0,84.0,0.0,23.0,29.0,0.0,70.0,116.0,0.0,0.0,183.0,679.0,18.0,122.0,4.0,0.0,7.0,0.0,6.0,37.0,34.0,27.0,26.0,14.0,44.0,49.0,35.0,26.0,6.0,51.0,16.0,4.0,353.0,7.0,218.0,28.0,0.0,53.0,62.0,42.0,11.0,0.0,941.0,36.0,33.0,32.0,68.0,10.0,13.0,14.0,20.0,69.0,3.0,19.0,29.0,157.0,23.0,0.0,27.0,20.0,121.0,1.0,54.0,23.0,35.0,0.0,1.0
