,mrna,life,ocugen,stock,effect,please,thank,share,pfizer,today,people,time,ocgn,emergency,vaccination,rxdx,sinopharm,japan,year,world,thanks,day,moderna,bharatbiotech,death,kid,biotech,man,fee,mohfw,sinovac,miracle,cdc,company,need,mansukhmandviya,biontech,covidvaccine,report,scientist,congratulation,booster,pfizerbiontech,amp,risk,drug,jab,fda,covaxin,country,dos,pincode,hosp,potus,group,availability,china,month,coronavirus,government,trial,data,canada,date,list,case,bengaluru,yesterday,govcanhealth,dose,efficacy,pmoindia,shot,apollo,covishield,news,covaxinapproval,use,vaccine,side,health,slot,hospital,delta,study,doctorsoumya,week,approval,age,sputnikv,child,drtedros,sep,astrazeneca,work,get,india,sputnik,travel,bharat
mrna,1075.0,12.0,15.0,56.0,16.0,13.0,2.0,14.0,136.0,18.0,31.0,13.0,25.0,19.0,18.0,0.0,0.0,13.0,32.0,22.0,4.0,16.0,376.0,14.0,12.0,10.0,5.0,4.0,0.0,0.0,5.0,2.0,17.0,25.0,16.0,0.0,20.0,11.0,9.0,3.0,2.0,70.0,6.0,28.0,13.0,7.0,19.0,47.0,219.0,5.0,9.0,0.0,0.0,23.0,5.0,0.0,4.0,14.0,12.0,6.0,41.0,22.0,26.0,1.0,1.0,8.0,0.0,3.0,18.0,10.0,18.0,0.0,62.0,0.0,1.0,17.0,2.0,35.0,415.0,13.0,17.0,0.0,1.0,12.0,14.0,3.0,17.0,17.0,4.0,1.0,12.0,1.0,0.0,8.0,10.0,12.0,5.0,1.0,0.0,0.0
life,12.0,384.0,5.0,1.0,7.0,14.0,8.0,3.0,30.0,1.0,29.0,7.0,9.0,1.0,8.0,0.0,2.0,1.0,18.0,18.0,1.0,5.0,65.0,17.0,1.0,7.0,1.0,1.0,1.0,1.0,7.0,0.0,2.0,1.0,3.0,1.0,2.0,0.0,0.0,7.0,1.0,11.0,2.0,10.0,3.0,6.0,6.0,4.0,112.0,8.0,2.0,0.0,0.0,5.0,0.0,1.0,2.0,22.0,6.0,3.0,2.0,3.0,2.0,4.0,0.0,2.0,0.0,1.0,2.0,1.0,3.0,4.0,5.0,0.0,4.0,3.0,7.0,2.0,75.0,6.0,10.0,0.0,0.0,0.0,1.0,4.0,0.0,10.0,1.0,4.0,1.0,14.0,0.0,1.0,3.0,8.0,6.0,2.0,3.0,3.0
ocugen,15.0,5.0,1654.0,25.0,4.0,21.0,9.0,16.0,21.0,13.0,25.0,29.0,538.0,32.0,3.0,0.0,0.0,0.0,3.0,168.0,3.0,10.0,4.0,678.0,1.0,15.0,31.0,2.0,0.0,1.0,0.0,0.0,3.0,12.0,50.0,5.0,0.0,13.0,5.0,3.0,7.0,12.0,0.0,16.0,1.0,3.0,0.0,203.0,1274.0,8.0,3.0,0.0,0.0,81.0,3.0,0.0,1.0,13.0,1.0,0.0,14.0,14.0,60.0,2.0,0.0,7.0,0.0,1.0,78.0,2.0,11.0,4.0,4.0,0.0,2.0,33.0,14.0,41.0,223.0,3.0,7.0,0.0,0.0,21.0,12.0,38.0,21.0,101.0,5.0,0.0,32.0,38.0,1.0,0.0,10.0,14.0,12.0,0.0,2.0,37.0
stock,56.0,1.0,25.0,466.0,1.0,0.0,0.0,14.0,53.0,33.0,10.0,12.0,51.0,2.0,2.0,0.0,1.0,3.0,14.0,5.0,2.0,15.0,136.0,8.0,1.0,1.0,9.0,0.0,0.0,0.0,7.0,0.0,0.0,11.0,5.0,0.0,8.0,2.0,6.0,3.0,0.0,15.0,2.0,14.0,2.0,1.0,5.0,4.0,104.0,2.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,17.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,5.0,0.0,6.0,23.0,0.0,6.0,62.0,1.0,5.0,0.0,2.0,0.0,1.0,0.0,13.0,21.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,3.0,5.0,0.0,1.0
effect,16.0,7.0,4.0,1.0,691.0,7.0,3.0,1.0,80.0,22.0,37.0,18.0,4.0,5.0,22.0,0.0,14.0,0.0,5.0,6.0,1.0,38.0,220.0,6.0,14.0,2.0,2.0,1.0,0.0,0.0,15.0,0.0,1.0,1.0,6.0,0.0,13.0,17.0,16.0,3.0,0.0,109.0,12.0,19.0,19.0,4.0,32.0,6.0,98.0,5.0,15.0,0.0,0.0,1.0,3.0,0.0,0.0,14.0,5.0,9.0,4.0,8.0,3.0,1.0,4.0,8.0,0.0,18.0,3.0,20.0,5.0,1.0,58.0,0.0,4.0,10.0,2.0,15.0,191.0,474.0,6.0,0.0,2.0,4.0,13.0,0.0,10.0,6.0,4.0,12.0,5.0,4.0,0.0,7.0,8.0,4.0,5.0,0.0,0.0,2.0
please,13.0,14.0,21.0,0.0,7.0,574.0,7.0,14.0,28.0,10.0,27.0,10.0,11.0,11.0,18.0,0.0,7.0,1.0,2.0,18.0,4.0,6.0,45.0,52.0,1.0,5.0,3.0,1.0,0.0,18.0,8.0,0.0,2.0,5.0,13.0,10.0,3.0,7.0,2.0,1.0,3.0,20.0,1.0,14.0,0.0,1.0,3.0,17.0,303.0,21.0,3.0,0.0,0.0,11.0,3.0,3.0,2.0,7.0,2.0,7.0,3.0,5.0,13.0,2.0,6.0,3.0,0.0,3.0,15.0,8.0,2.0,16.0,13.0,0.0,5.0,7.0,19.0,10.0,93.0,7.0,14.0,0.0,3.0,2.0,1.0,14.0,9.0,59.0,1.0,10.0,6.0,17.0,0.0,4.0,35.0,18.0,21.0,1.0,17.0,3.0
thank,2.0,8.0,9.0,0.0,3.0,7.0,483.0,2.0,14.0,24.0,6.0,2.0,3.0,4.0,21.0,0.0,17.0,1.0,2.0,15.0,7.0,4.0,80.0,43.0,1.0,2.0,8.0,2.0,0.0,1.0,26.0,0.0,1.0,0.0,4.0,4.0,0.0,8.0,1.0,6.0,27.0,17.0,13.0,22.0,2.0,2.0,13.0,4.0,181.0,3.0,8.0,0.0,1.0,6.0,0.0,0.0,4.0,3.0,1.0,6.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,2.0,13.0,1.0,11.0,11.0,0.0,1.0,13.0,5.0,6.0,67.0,3.0,9.0,0.0,1.0,2.0,1.0,9.0,5.0,33.0,0.0,8.0,10.0,4.0,0.0,2.0,3.0,25.0,25.0,2.0,4.0,8.0
share,14.0,3.0,16.0,14.0,1.0,14.0,2.0,365.0,32.0,16.0,34.0,5.0,16.0,2.0,9.0,0.0,3.0,3.0,3.0,6.0,1.0,3.0,145.0,7.0,0.0,1.0,7.0,0.0,0.0,0.0,4.0,0.0,7.0,28.0,0.0,1.0,11.0,3.0,8.0,0.0,0.0,6.0,1.0,19.0,1.0,13.0,2.0,3.0,40.0,4.0,6.0,0.0,0.0,3.0,2.0,0.0,1.0,3.0,2.0,4.0,4.0,5.0,4.0,3.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,8.0,0.0,1.0,9.0,1.0,3.0,66.0,1.0,6.0,0.0,1.0,4.0,6.0,1.0,8.0,7.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,4.0,5.0,3.0,0.0,3.0
pfizer,136.0,30.0,21.0,53.0,80.0,28.0,14.0,32.0,5134.0,90.0,161.0,86.0,19.0,26.0,171.0,0.0,111.0,8.0,74.0,57.0,13.0,68.0,2081.0,16.0,121.0,43.0,4.0,11.0,0.0,4.0,80.0,2.0,106.0,25.0,48.0,2.0,344.0,114.0,60.0,19.0,1.0,523.0,119.0,301.0,36.0,48.0,96.0,293.0,186.0,56.0,80.0,0.0,0.0,38.0,32.0,2.0,18.0,97.0,114.0,53.0,57.0,99.0,40.0,7.0,6.0,44.0,0.0,13.0,12.0,72.0,50.0,2.0,295.0,0.0,24.0,64.0,5.0,55.0,1980.0,59.0,63.0,0.0,10.0,75.0,176.0,4.0,48.0,149.0,46.0,26.0,76.0,15.0,2.0,225.0,58.0,93.0,43.0,7.0,4.0,6.0
today,18.0,1.0,13.0,33.0,22.0,10.0,24.0,16.0,90.0,1757.0,35.0,19.0,19.0,20.0,145.0,0.0,61.0,1.0,25.0,16.0,33.0,82.0,308.0,34.0,5.0,9.0,6.0,5.0,0.0,10.0,46.0,0.0,11.0,11.0,4.0,12.0,4.0,22.0,9.0,9.0,5.0,242.0,51.0,89.0,4.0,6.0,46.0,19.0,292.0,22.0,88.0,0.0,1.0,3.0,12.0,1.0,15.0,16.0,10.0,15.0,7.0,4.0,3.0,8.0,5.0,68.0,0.0,33.0,4.0,80.0,4.0,7.0,168.0,0.0,45.0,60.0,3.0,26.0,331.0,16.0,35.0,3.0,8.0,1.0,8.0,5.0,24.0,50.0,8.0,42.0,11.0,2.0,0.0,8.0,10.0,32.0,58.0,5.0,7.0,7.0
